,Unnamed: 0,_id_id,deviceId,alarmType,recorded_at_value,recorded_at_hour,recorded_at_date,recorded_at_time,AM/PM,latitude,longitude,speed
2664,2664,582,12DF03C6:19523068255842304686,FCW,1571663289656,1.08,2019-10-21,13:08:09,PM,8.548458099365233,76.91844940185547,0
2665,2665,4882,12DF03C6:19523068255842304686,FCW,1571663384657,1.09,2019-10-21,13:09:44,PM,8.548874855041504,76.91661071777344,0
2666,2666,583,12DF03C6:19523068255842304686,FCW,1571663403733,1.1,2019-10-21,13:10:03,PM,8.548993110656737,76.91609191894531,0
2667,2667,1607,12DF03C6:19523068255842304686,HMW,1571663535820,1.12,2019-10-21,13:12:15,PM,8.552181243896483,76.90852355957031,0
2668,2668,8293,12DF03C6:19523068255842304686,HMW,1571663573808,1.12,2019-10-21,13:12:53,PM,8.553072929382324,76.90625,0
2669,2669,3236,12DF03C6:19523068255842304686,FCW,1571663603635,1.13,2019-10-21,13:13:23,PM,8.556893348693848,76.9029541015625,0
2670,2670,584,12DF03C6:19523068255842304686,HMW,1571663639830,1.13,2019-10-21,13:13:59,PM,8.560589790344237,76.90084838867188,0
2671,2671,6389,12DF03C6:19523068255842304686,FCW,1571663829579,1.17,2019-10-21,13:17:09,PM,8.564800262451174,76.8819351196289,0
2672,2672,922,12DF03C6:19523068255842304686,FCW,1571663968727,1.19,2019-10-21,13:19:28,PM,8.566835403442383,76.87425231933594,0
2673,2673,2888,12DF03C6:19523068255842304686,HMW,1571664288814,1.24,2019-10-21,13:24:48,PM,8.583252906799316,76.86226654052734,0
2674,2674,589,12DF03C6:19523068255842304686,HMW,1571664323830,1.25,2019-10-21,13:25:23,PM,8.585463523864746,76.86050415039062,0
2675,2675,590,12DF03C6:19523068255842304686,FCW,1571664377488,1.26,2019-10-21,13:26:17,PM,8.588441848754883,76.85787963867188,0
2676,2676,3533,12DF03C6:19523068255842304686,FCW,1571664467807,1.27,2019-10-21,13:27:47,PM,8.591398239135742,76.85667419433594,0
2677,2677,5416,12DF03C6:19523068255842304686,HMW,1571664524839,1.28,2019-10-21,13:28:44,PM,8.598732948303223,76.85436248779297,0
2678,2678,592,12DF03C6:19523068255842304686,FCW,1571664526475,1.28,2019-10-21,13:28:46,PM,8.598732948303223,76.85436248779297,0
2679,2679,593,12DF03C6:19523068255842304686,HMW,1571664553840,1.29,2019-10-21,13:29:13,PM,8.601316452026367,76.85489654541016,0
2680,2680,4158,12DF03C6:19523068255842304686,HMW,1571664668828,1.31,2019-10-21,13:31:08,PM,8.610811233520508,76.85545349121094,0
2681,2681,1503,12DF03C6:19523068255842304686,FCW,1571664680816,1.31,2019-10-21,13:31:20,PM,8.611766815185549,76.85468292236328,0
2682,2682,594,12DF03C6:19523068255842304686,FCW,1571664687584,1.31,2019-10-21,13:31:27,PM,8.612926483154299,76.85383605957031,0
2683,2683,1000,12DF03C6:19523068255842304686,HMW,1571664769828,1.32,2019-10-21,13:32:49,PM,8.620746612548826,76.84931182861328,0
2684,2684,1551,12DF03C6:19523068255842304686,HMW,1571664774836,1.32,2019-10-21,13:32:54,PM,8.620746612548826,76.84931182861328,0
2685,2685,8072,12DF03C6:19523068255842304686,FCW,1571664805546,1.33,2019-10-21,13:33:25,PM,8.624116897583008,76.84867095947266,0
2686,2686,5749,12DF03C6:19523068255842304686,FCW,1571664882580,1.34,2019-10-21,13:34:42,PM,8.62825870513916,76.84767150878906,0
2687,2687,595,12DF03C6:19523068255842304686,HMW,1571664925834,1.35,2019-10-21,13:35:25,PM,8.633245468139647,76.84658813476562,0
2688,2688,597,12DF03C6:19523068255842304686,FCW,1571664985644,1.36,2019-10-21,13:36:25,PM,8.638669967651367,76.84513854980469,0
2689,2689,1683,12DF03C6:19523068255842304686,HMW,1571664985830,1.36,2019-10-21,13:36:25,PM,8.638669967651367,76.84513854980469,0
2690,2690,3787,12DF03C6:19523068255842304686,HMW,1571664999825,1.36,2019-10-21,13:36:39,PM,8.639724731445312,76.84469604492188,0
2691,2691,598,12DF03C6:19523068255842304686,HMW,1571665185819,1.39,2019-10-21,13:39:45,PM,8.654733657836914,76.84041595458984,0
2692,2692,3758,12DF03C6:19523068255842304686,FCW,1571665224577,1.4,2019-10-21,13:40:24,PM,8.658536911010742,76.84105682373047,0
2693,2693,6274,12DF03C6:19523068255842304686,HMW,1571665373319,1.42,2019-10-21,13:42:53,PM,8.671738624572754,76.83477020263672,0
2694,2694,13778,12DF03C6:19523068255842304686,FCW,1571665391669,1.43,2019-10-21,13:43:11,PM,8.673741340637207,76.83320617675781,0
2695,2695,5750,12DF03C6:19523068255842304686,HMW,1571665412835,1.43,2019-10-21,13:43:32,PM,8.67465877532959,76.83065795898438,0
2696,2696,10792,12DF03C6:19523068255842304686,FCW,1571665416662,1.43,2019-10-21,13:43:36,PM,8.67465877532959,76.83065795898438,0
2697,2697,12919,12DF03C6:19523068255842304686,HMW,1571665444812,1.44,2019-10-21,13:44:04,PM,8.676400184631348,76.82807922363281,0
2698,2698,7087,12DF03C6:19523068255842304686,HMW,1571665479820,1.44,2019-10-21,13:44:39,PM,8.677103042602539,76.82719421386719,0
2699,2699,602,12DF03C6:19523068255842304686,HMW,1571665506424,1.45,2019-10-21,13:45:06,PM,8.681425094604492,76.82460021972656,0
2700,2700,604,12DF03C6:19523068255842304686,FCW,1571665512801,1.45,2019-10-21,13:45:12,PM,8.682578086853027,76.82445526123047,0
2701,2701,614,12DF03C6:19523068255842304686,FCW,1571665935657,1.52,2019-10-21,13:52:15,PM,8.694820404052733,76.81382751464844,0
2702,2702,1562,12DF03C6:19523068255842304686,FCW,1571665938643,1.52,2019-10-21,13:52:18,PM,8.694820404052733,76.81382751464844,0
2703,2703,621,12DF03C6:19523068255842304686,HMW,1571666097822,1.54,2019-10-21,13:54:57,PM,8.700911521911621,76.81371307373047,0
2704,2704,745,12DF03C6:19523068255842304686,FCW,1571666115819,1.55,2019-10-21,13:55:15,PM,8.703161239624022,76.81453704833984,0
2705,2705,624,12DF03C6:19523068255842304686,FCW,1571666140673,1.55,2019-10-21,13:55:40,PM,8.705015182495117,76.81501007080078,0
2706,2706,625,12DF03C6:19523068255842304686,FCW,1571666148810,1.55,2019-10-21,13:55:48,PM,8.706357002258299,76.81513214111328,0
2707,2707,627,12DF03C6:19523068255842304686,HMW,1571666185823,1.56,2019-10-21,13:56:25,PM,8.708593368530272,76.81398010253906,0
2708,2708,4885,12DF03C6:19523068255842304686,FCW,1571666196823,1.56,2019-10-21,13:56:36,PM,8.709378242492676,76.8133544921875,0
2709,2709,7773,12DF03C6:19523068255842304686,HMW,1571666214820,1.56,2019-10-21,13:56:54,PM,8.711071968078612,76.8121109008789,0
2710,2710,10552,12DF03C6:19523068255842304686,HMW,1571666299328,1.58,2019-10-21,13:58:19,PM,8.719664573669434,76.8128433227539,0
2711,2711,8414,12DF03C6:19523068255842304686,HMW,1571666365834,1.59,2019-10-21,13:59:25,PM,8.725542068481445,76.8126449584961,0
2712,2712,3671,12DF03C6:19523068255842304686,HMW,1571666387844,1.59,2019-10-21,13:59:47,PM,8.72974681854248,76.81195068359375,0
2713,2713,6930,12DF03C6:19523068255842304686,HMW,1571666444821,2.0,2019-10-21,14:00:44,PM,8.736251831054688,76.80886840820312,0
2714,2714,632,12DF03C6:19523068255842304686,HMW,1571666475838,2.01,2019-10-21,14:01:15,PM,8.739021301269531,76.80607604980469,0
2715,2715,4422,12DF03C6:19523068255842304686,HMW,1571666486821,2.01,2019-10-21,14:01:26,PM,8.740043640136719,76.80530548095703,0
2716,2716,12610,12DF03C6:19523068255842304686,FCW,1571666491632,2.01,2019-10-21,14:01:31,PM,8.74124813079834,76.80447387695312,0
2717,2717,11847,12DF03C6:19523068255842304686,HMW,1571666517342,2.01,2019-10-21,14:01:57,PM,8.74364185333252,76.80338287353516,0
2718,2718,4172,12DF03C6:19523068255842304686,HMW,1571666537316,2.02,2019-10-21,14:02:17,PM,8.745171546936035,76.80216217041016,0
2719,2719,6887,12DF03C6:19523068255842304686,HMW,1571666587835,2.03,2019-10-21,14:03:07,PM,8.749153137207031,76.79872131347656,0
2720,2720,636,12DF03C6:19523068255842304686,HMW,1571666604300,2.03,2019-10-21,14:03:24,PM,8.749839782714844,76.79767608642578,0
2721,2721,2987,12DF03C6:19523068255842304686,FCW,1571666633655,2.03,2019-10-21,14:03:53,PM,8.752449989318848,76.79591369628906,0
2722,2722,5288,12DF03C6:19523068255842304686,HMW,1571666633655,2.03,2019-10-21,14:03:53,PM,8.750461578369139,76.79692840576172,0
2723,2723,3443,12DF03C6:19523068255842304686,FCW,1571666653589,2.04,2019-10-21,14:04:13,PM,8.754944801330566,76.79438781738281,0
2724,2724,8791,12DF03C6:19523068255842304686,HMW,1571666672815,2.04,2019-10-21,14:04:32,PM,8.757851600646973,76.79320526123047,0
2725,2725,8901,12DF03C6:19523068255842304686,HMW,1571666694809,2.04,2019-10-21,14:04:54,PM,8.760800361633299,76.79215240478516,0
2726,2726,638,12DF03C6:19523068255842304686,HMW,1571666711301,2.05,2019-10-21,14:05:11,PM,8.762866973876951,76.79148864746094,0
2727,2727,14631,12DF03C6:19523068255842304686,FCW,1571666717617,2.05,2019-10-21,14:05:17,PM,8.762866973876951,76.79148864746094,0
2728,2728,7498,12DF03C6:19523068255842304686,FCW,1571666720817,2.05,2019-10-21,14:05:20,PM,8.763728141784668,76.79122924804688,0
2729,2729,1457,12DF03C6:19523068255842304686,HMW,1571666776832,2.06,2019-10-21,14:06:16,PM,8.768857002258299,76.78852081298828,0
2730,2730,643,12DF03C6:19523068255842304686,HMW,1571666895826,2.08,2019-10-21,14:08:15,PM,8.782011985778809,76.78119659423828,0
2731,2731,10467,12DF03C6:19523068255842304686,HMW,1571666986810,2.09,2019-10-21,14:09:46,PM,8.788433074951174,76.77410125732422,0
2732,2732,4246,12DF03C6:19523068255842304686,HMW,1571667022843,2.1,2019-10-21,14:10:22,PM,8.789471626281737,76.77159118652344,0
2733,2733,844,12DF03C6:19523068255842304686,HMW,1571667128807,2.12,2019-10-21,14:12:08,PM,8.800660133361816,76.76823425292969,0
2734,2734,14301,12DF03C6:19523068255842304686,HMW,1571667429836,2.17,2019-10-21,14:17:09,PM,8.834033012390137,76.74388885498047,0
2735,2735,647,12DF03C6:19523068255842304686,HMW,1571667445819,2.17,2019-10-21,14:17:25,PM,8.834580421447754,76.742919921875,0
2736,2736,648,12DF03C6:19523068255842304686,HMW,1571667472825,2.17,2019-10-21,14:17:52,PM,8.83625316619873,76.73983764648438,0
2737,2737,649,12DF03C6:19523068255842304686,HMW,1571667538834,2.18,2019-10-21,14:18:58,PM,8.842601776123047,76.73571014404297,0
2738,2738,2377,12DF03C6:19523068255842304686,FCW,1571667569821,2.19,2019-10-21,14:19:29,PM,8.845833778381348,76.73438262939453,0
2739,2739,650,12DF03C6:19523068255842304686,HMW,1571667613844,2.2,2019-10-21,14:20:13,PM,8.851229667663574,76.7318115234375,0
2740,2740,651,12DF03C6:19523068255842304686,FCW,1571667627657,2.2,2019-10-21,14:20:27,PM,8.852045059204102,76.7311019897461,0
2741,2741,1648,12DF03C6:19523068255842304686,HMW,1571667737265,2.22,2019-10-21,14:22:17,PM,8.861963272094727,76.7182388305664,0
2742,2742,652,12DF03C6:19523068255842304686,HMW,1571667753326,2.22,2019-10-21,14:22:33,PM,8.863024711608887,76.71643829345703,0
2743,2743,654,12DF03C6:19523068255842304686,HMW,1571667782812,2.23,2019-10-21,14:23:02,PM,8.863898277282715,76.71349334716797,0
2744,2744,655,12DF03C6:19523068255842304686,FCW,1571667791805,2.23,2019-10-21,14:23:11,PM,8.863898277282715,76.71349334716797,0
2745,2745,8637,12DF03C6:19523068255842304686,HMW,1571667835814,2.23,2019-10-21,14:23:55,PM,8.862805366516113,76.70852661132812,0
2746,2746,658,12DF03C6:19523068255842304686,HMW,1571667941828,2.25,2019-10-21,14:25:41,PM,8.863481521606445,76.69915771484375,0
2747,2747,659,12DF03C6:19523068255842304686,HMW,1571667955823,2.25,2019-10-21,14:25:55,PM,8.863349914550781,76.69761657714844,0
2748,2748,660,12DF03C6:19523068255842304686,FCW,1571667959431,2.25,2019-10-21,14:25:59,PM,8.863349914550781,76.69761657714844,0
2749,2749,662,12DF03C6:19523068255842304686,FCW,1571667961725,2.26,2019-10-21,14:26:01,PM,8.863349914550781,76.69761657714844,0
2750,2750,664,12DF03C6:19523068255842304686,HMW,1571667999817,2.26,2019-10-21,14:26:39,PM,8.863313674926758,76.69664001464844,0
2751,2751,665,12DF03C6:19523068255842304686,FCW,1571668009816,2.26,2019-10-21,14:26:49,PM,8.863781929016113,76.69264221191406,0
2752,2752,666,12DF03C6:19523068255842304686,FCW,1571668060658,2.27,2019-10-21,14:27:40,PM,8.86415958404541,76.6864242553711,0
2753,2753,6363,12DF03C6:19523068255842304686,HMW,1571668322807,2.32,2019-10-21,14:32:02,PM,8.866118431091309,76.66967010498047,0
2754,2754,675,12DF03C6:19523068255842304686,HMW,1571668336834,2.32,2019-10-21,14:32:16,PM,8.866334915161133,76.66851043701172,0
2755,2755,677,12DF03C6:19523068255842304686,HMW,1571668370837,2.32,2019-10-21,14:32:50,PM,8.866490364074707,76.66571044921875,0
2756,2756,4609,12DF03C6:19523068255842304686,HMW,1571668407813,2.33,2019-10-21,14:33:27,PM,8.865556716918945,76.66165924072266,0
2757,2757,679,12DF03C6:19523068255842304686,FCW,1571668459724,2.34,2019-10-21,14:34:19,PM,8.865001678466797,76.65634155273438,0
2758,2758,10862,12DF03C6:19523068255842304686,HMW,1571668499813,2.34,2019-10-21,14:34:59,PM,8.865204811096191,76.65422821044922,0
2759,2759,992,12DF03C6:19523068255842304686,HMW,1571668533825,2.35,2019-10-21,14:35:33,PM,8.866167068481445,76.65137481689453,0
2760,2760,682,12DF03C6:19523068255842304686,FCW,1571668571820,2.36,2019-10-21,14:36:11,PM,8.867449760437012,76.64627838134766,0
2761,2761,685,12DF03C6:19523068255842304686,FCW,1571668787562,2.39,2019-10-21,14:39:47,PM,8.875983238220215,76.62520599365234,0
2762,2762,720,12DF03C6:19523068255842304686,FCW,1571668885635,2.41,2019-10-21,14:41:25,PM,8.875931739807129,76.61650085449219,0
2763,2763,687,12DF03C6:19523068255842304686,HMW,1571668903821,2.41,2019-10-21,14:41:43,PM,8.876323699951172,76.6154556274414,0
2764,2764,5021,12DF03C6:19523068255842304686,HMW,1571668946826,2.42,2019-10-21,14:42:26,PM,8.87764835357666,76.61131286621094,0
2765,2765,9462,12DF03C6:19523068255842304686,HMW,1571668963815,2.42,2019-10-21,14:42:43,PM,8.878232955932617,76.60942840576172,0
2766,2766,799,12DF03C6:19523068255842304686,HMW,1571669022822,2.43,2019-10-21,14:43:42,PM,8.88008975982666,76.6042709350586,0
2767,2767,12951,12DF03C6:19523068255842304686,HMW,1571669137806,2.45,2019-10-21,14:45:37,PM,8.885148048400879,76.59295654296875,0
2768,2768,3959,12DF03C6:19523068255842304686,HMW,1571669624826,2.53,2019-10-21,14:53:44,PM,8.890089988708496,76.58415222167969,0
2769,2769,11320,12DF03C6:19523068255842304686,FCW,1571669674654,2.54,2019-10-21,14:54:34,PM,8.892073631286621,76.57988739013672,0
2770,2770,697,12DF03C6:19523068255842304686,FCW,1571669676670,2.54,2019-10-21,14:54:36,PM,8.892073631286621,76.57988739013672,0
2771,2771,699,12DF03C6:19523068255842304686,FCW,1571669740482,2.55,2019-10-21,14:55:40,PM,8.893171310424805,76.57614135742188,0
2772,2772,3932,12DF03C6:19523068255842304686,FCW,1571670102821,3.01,2019-10-21,15:01:42,PM,8.918538093566895,76.55906677246094,0
2773,2773,704,12DF03C6:19523068255842304686,FCW,1571670161629,3.02,2019-10-21,15:02:41,PM,8.923988342285156,76.55704498291016,0
2774,2774,6333,12DF03C6:19523068255842304686,HMW,1571670226337,3.03,2019-10-21,15:03:46,PM,8.926721572875977,76.5528793334961,0
2775,2775,13832,12DF03C6:19523068255842304686,FCW,1571670498813,3.08,2019-10-21,15:08:18,PM,8.953925132751465,76.53458404541016,0
2776,2776,3903,12DF03C6:19523068255842304686,HMW,1571670759817,3.12,2019-10-21,15:12:39,PM,8.989317893981934,76.53389739990234,0
2777,2777,2349,12DF03C6:19523068255842304686,HMW,1571670814842,3.13,2019-10-21,15:13:34,PM,8.996553421020508,76.5329360961914,0
2778,2778,724,12DF03C6:19523068255842304686,FCW,1571670820386,3.13,2019-10-21,15:13:40,PM,8.99813175201416,76.53334045410156,0
2779,2779,14163,12DF03C6:19523068255842304686,FCW,1571670941670,3.15,2019-10-21,15:15:41,PM,9.014113426208496,76.53636169433594,0
2780,2780,727,12DF03C6:19523068255842304686,FCW,1571670972664,3.16,2019-10-21,15:16:12,PM,9.018863677978516,76.5381088256836,0
2781,2781,728,12DF03C6:19523068255842304686,HMW,1571670995842,3.16,2019-10-21,15:16:35,PM,9.021195411682127,76.54035186767578,0
2782,2782,2759,12DF03C6:19523068255842304686,FCW,1571670997644,3.16,2019-10-21,15:16:37,PM,9.021195411682127,76.54035186767578,0
2783,2783,10875,12DF03C6:19523068255842304686,HMW,1571671058831,3.17,2019-10-21,15:17:38,PM,9.023956298828123,76.54243469238281,0
2784,2784,11520,12DF03C6:19523068255842304686,HMW,1571671086836,3.18,2019-10-21,15:18:06,PM,9.032756805419922,76.5428237915039,0
2785,2785,738,12DF03C6:19523068255842304686,HMW,1571671187844,3.19,2019-10-21,15:19:47,PM,9.042256355285645,76.53730773925781,0
2786,2786,739,12DF03C6:19523068255842304686,HMW,1571671197827,3.19,2019-10-21,15:19:57,PM,9.042844772338867,76.53646087646484,0
2787,2787,740,12DF03C6:19523068255842304686,FCW,1571671204816,3.2,2019-10-21,15:20:04,PM,9.043878555297852,76.5358657836914,0
2788,2788,741,12DF03C6:19523068255842304686,HMW,1571671234829,3.2,2019-10-21,15:20:34,PM,9.046303749084473,76.53590393066406,0
2789,2789,8498,12DF03C6:19523068255842304686,HMW,1571671437821,3.23,2019-10-21,15:23:57,PM,9.05490016937256,76.5354232788086,0
2790,2790,8565,12DF03C6:19523068255842304686,HMW,1571671499818,3.24,2019-10-21,15:24:59,PM,9.060751914978027,76.53538513183594,0
2791,2791,742,12DF03C6:19523068255842304686,HMW,1571671529819,3.25,2019-10-21,15:25:29,PM,9.063481330871582,76.53488159179688,0
2792,2792,746,12DF03C6:19523068255842304686,HMW,1571671638347,3.27,2019-10-21,15:27:18,PM,9.075445175170898,76.53305053710938,0
2793,2793,3946,12DF03C6:19523068255842304686,HMW,1571671666820,3.27,2019-10-21,15:27:46,PM,9.077926635742188,76.53177642822266,0
2794,2794,8032,12DF03C6:19523068255842304686,HMW,1571671742820,3.29,2019-10-21,15:29:02,PM,9.088741302490234,76.5279769897461,0
2795,2795,1437,12DF03C6:19523068255842304686,HMW,1571671746826,3.29,2019-10-21,15:29:06,PM,9.088741302490234,76.5279769897461,0
2796,2796,6704,12DF03C6:19523068255842304686,HMW,1571671784841,3.29,2019-10-21,15:29:44,PM,9.093451499938963,76.52609252929688,0
2797,2797,13124,12DF03C6:19523068255842304686,HMW,1571671807818,3.3,2019-10-21,15:30:07,PM,9.095914840698242,76.52503204345703,0
2798,2798,4720,12DF03C6:19523068255842304686,FCW,1571671864808,3.31,2019-10-21,15:31:04,PM,9.100741386413574,76.52200317382812,0
2799,2799,12298,12DF03C6:19523068255842304686,FCW,1571671871818,3.31,2019-10-21,15:31:11,PM,9.100741386413574,76.52200317382812,0
2800,2800,13240,12DF03C6:19523068255842304686,HMW,1571671881355,3.31,2019-10-21,15:31:21,PM,9.102243423461914,76.52144622802734,0
2801,2801,9350,12DF03C6:19523068255842304686,HMW,1571671952841,3.32,2019-10-21,15:32:32,PM,9.112750053405762,76.51918029785156,0
2802,2802,5040,12DF03C6:19523068255842304686,FCW,1571671955408,3.32,2019-10-21,15:32:35,PM,9.112750053405762,76.51918029785156,0
2803,2803,757,12DF03C6:19523068255842304686,HMW,1571672003325,3.33,2019-10-21,15:33:23,PM,9.121883392333984,76.51787567138672,0
2804,2804,4064,12DF03C6:19523068255842304686,FCW,1571672004827,3.33,2019-10-21,15:33:24,PM,9.121883392333984,76.51787567138672,0
2805,2805,9459,12DF03C6:19523068255842304686,HMW,1571672197834,3.36,2019-10-21,15:36:37,PM,9.1497220993042,76.51324462890625,0
2806,2806,10583,12DF03C6:19523068255842304686,HMW,1571672220359,3.37,2019-10-21,15:37:00,PM,9.151333808898926,76.51294708251953,0
2807,2807,3801,12DF03C6:19523068255842304686,FCW,1571672225542,3.37,2019-10-21,15:37:05,PM,9.151333808898926,76.51294708251953,0
2808,2808,10618,12DF03C6:19523068255842304686,HMW,1571672249836,3.37,2019-10-21,15:37:29,PM,9.153568267822266,76.5107421875,0
2809,2809,763,12DF03C6:19523068255842304686,HMW,1571672292843,3.38,2019-10-21,15:38:12,PM,9.158686637878418,76.50857543945312,0
2810,2810,764,12DF03C6:19523068255842304686,FCW,1571672321677,3.38,2019-10-21,15:38:41,PM,9.161861419677734,76.50572204589844,0
2811,2811,765,12DF03C6:19523068255842304686,HMW,1571672372834,3.39,2019-10-21,15:39:32,PM,9.167202949523926,76.50086212158203,0
2812,2812,5453,12DF03C6:19523068255842304686,FCW,1571672377812,3.39,2019-10-21,15:39:37,PM,9.167202949523926,76.50086212158203,0
2813,2813,1139,12DF03C6:19523068255842304686,HMW,1571672569829,3.42,2019-10-21,15:42:49,PM,9.172048568725586,76.49738311767578,0
2814,2814,3421,12DF03C6:19523068255842304686,HMW,1571672604826,3.43,2019-10-21,15:43:24,PM,9.17520809173584,76.4953384399414,0
2815,2815,4982,12DF03C6:19523068255842304686,HMW,1571672624827,3.43,2019-10-21,15:43:44,PM,9.177370071411133,76.49403381347656,0
2816,2816,8873,12DF03C6:19523068255842304686,FCW,1571672634513,3.43,2019-10-21,15:43:54,PM,9.179923057556152,76.49246215820312,0
2817,2817,775,12DF03C6:19523068255842304686,FCW,1571672759342,3.45,2019-10-21,15:45:59,PM,9.196310043334961,76.48567199707031,0
2818,2818,13411,12DF03C6:19523068255842304686,FCW,1571673003816,3.5,2019-10-21,15:50:03,PM,9.238771438598633,76.47090148925781,0
2819,2819,12908,12DF03C6:19523068255842304686,HMW,1571673017822,3.5,2019-10-21,15:50:17,PM,9.240228652954102,76.47028350830078,0
2820,2820,5125,12DF03C6:19523068255842304686,HMW,1571674809821,4.2,2019-10-21,16:20:09,PM,9.273401260375977,76.45997619628906,0
2821,2821,8009,12DF03C6:19523068255842304686,HMW,1571674942340,4.22,2019-10-21,16:22:22,PM,9.281635284423828,76.453857421875,0
2822,2822,790,12DF03C6:19523068255842304686,HMW,1571674958809,4.22,2019-10-21,16:22:38,PM,9.281515121459961,76.45276641845703,0
2823,2823,3290,12DF03C6:19523068255842304686,FCW,1571674976727,4.22,2019-10-21,16:22:56,PM,9.281359672546387,76.44979095458984,0
2824,2824,4514,12DF03C6:19523068255842304686,HMW,1571675185121,4.26,2019-10-21,16:26:25,PM,9.302993774414062,76.43277740478516,0
2825,2825,12084,12DF03C6:19523068255842304686,FCW,1571675401822,4.3,2019-10-21,16:30:01,PM,9.316718101501463,76.40611267089844,0
2826,2826,800,12DF03C6:19523068255842304686,HMW,1571675470828,4.31,2019-10-21,16:31:10,PM,9.315618515014648,76.3938217163086,0
2827,2827,1290,12DF03C6:19523068255842304686,FCW,1571675735673,4.35,2019-10-21,16:35:35,PM,9.344064712524414,76.36925506591797,0
2828,2828,805,12DF03C6:19523068255842304686,HMW,1571675822676,4.37,2019-10-21,16:37:02,PM,9.358041763305664,76.36397552490234,0
2829,2829,11380,12DF03C6:19523068255842304686,FCW,1571675822676,4.37,2019-10-21,16:37:02,PM,9.359740257263184,76.36373138427734,0
2830,2830,806,12DF03C6:19523068255842304686,HMW,1571675852824,4.37,2019-10-21,16:37:32,PM,9.36505126953125,76.3620376586914,0
2831,2831,1307,12DF03C6:19523068255842304686,HMW,1571675883819,4.38,2019-10-21,16:38:03,PM,9.3694429397583,76.36041259765625,0
2832,2832,3718,12DF03C6:19523068255842304686,HMW,1571676242838,4.44,2019-10-21,16:44:02,PM,9.422445297241213,76.34757232666016,0
2833,2833,818,12DF03C6:19523068255842304686,HMW,1571676246938,4.44,2019-10-21,16:44:06,PM,9.42408847808838,76.34722137451172,0
2834,2834,6226,12DF03C6:19523068255842304686,FCW,1571676250816,4.44,2019-10-21,16:44:10,PM,9.42408847808838,76.34722137451172,0
2835,2835,1182,12DF03C6:19523068255842304686,HMW,1571676284819,4.44,2019-10-21,16:44:44,PM,9.428123474121094,76.34640502929688,0
2836,2836,11900,12DF03C6:19523068255842304686,FCW,1571676291646,4.44,2019-10-21,16:44:51,PM,9.430006980895996,76.34603881835938,0
2837,2837,820,12DF03C6:19523068255842304686,FCW,1571676295816,4.44,2019-10-21,16:44:55,PM,9.430006980895996,76.34603881835938,0
2838,2838,9309,12DF03C6:19523068255842304686,HMW,1571676390839,4.46,2019-10-21,16:46:30,PM,9.446138381958008,76.34269714355469,0
2839,2839,823,12DF03C6:19523068255842304686,HMW,1571676670829,4.51,2019-10-21,16:51:10,PM,9.474650382995604,76.34431457519531,0
